Наименование аккредитационного органа, выдавшего свидетельство о государственной аккредитации;Полное наименование, местонахождение организации, имеющей свидетельство о государственной аккредитации  ;Местонахождение юридического лица;Геоданные;Режим работы;Государственный регистрационный номер записи о создании юридического лица;Идентификационный номер налогоплательщика-организации, имеющей свидетельство о государственной аккредитации;Дата принятия решения о государственной аккредитации;Реквизиты свидетельства о государственной аккредитации;Срок окончания свидетельства о государственной аккредитации;Перечень аккредитованных образовательных программ, укрупненных групп направлений подготовки и специальностей;Основание и дата переоформления свидетельства о государственной аккредитации;Основание и даты приостановлении и  возобновлении действия свидетельства о государственной аккредитации;Основание и дата лишения свидетельства о государственной аккредитации ;Основание и дата прекращения действия  свидетельства о государственной аккредитации ;;;;
министерство образования и науки Калужской области;"Муниципальное казённое
общеобразовательное 
учреждение «Средняя
общеобразовательная школа №12»
г.Сухиничи Сухиничского района Калужской области";249271, Россия, Калужская область, г.Сухиничи, ул.Дзержинского, д.11;"широта 54.1189033
долгота 35.32899670000006";"понедельник-пятница; 7:30-19:00; выходные: суббота, воскресенье";1024000806961;4017003600; 11.05.2011; рег. № 693 от 11.05.2011 серия ОП № 003221;11.05.2023;"начальное общее образование
основное общее образование
среднее общее образование ";" рег.№ 93 от 12.04.2012
 серия ОП № 003452-
переоформление, рег.№66 от 31.03.2015 серия 40А01 №0000267-переоформление";;;;;;;
министерство образования и науки Калужской области;"Муниципальное казённое 
общеобразовательное учреждение
«Середейская средняя 
общеобразовательная школа» п.Середейский Сухиничского района Калужской области";Российская Федерация, Калужская область, Сухиничский район, п. Середейский, ул. Комсомольская, дом 11;"широта 54.0518227
долгота 35.229881999999975";"понедельник-четверг; 8:00-17:15; пятница; 8:00-16:00; суббота; 11:50-15:30; выходные: воскресенье";1024000807016;4017004547;20.01.2015;рег.№2 от 20.01.2015 серия 40А01 №0000203;20.01.2027;"начальное общее образование
основное общее образование
среднее общее образование ";;;;;;;;
министерство образования и науки Калужской области;"Муниципальное казенное 
общеобразовательное учреждение
 «Брынская основная
 общеобразовательная школа» с.Брынь Сухиничского района Калужской области";249295, Российская Федерация, Калужская область, Сухиничский район, село Брынь;"широта 54.08641799999999
долгота 35.17782520000003";"понедельник-пятница; 7:30-18:00; суббота; 9:00-11:00; выходные: воскресенье";1024000805938;4017004138; 06.02.2012 ; рег. № 22 от 06.02.2012 серия ОП № 003370; 06.02.2024;"начальное общее образование
основное общее образование
";  рег.№ 30 от 11.03.2013 серия 40А01 № 0000048-переофорление, рег.№ 70 от 02.07.2013 серия 40А01 № 0000097-переоформление, рег.№69 от 02.04.2015 серия 40А01 №0000270-переоформление;;;;;;;
министерство образования и науки Калужской области;"Муниципальное казённое 
общеобразовательное учреждение 
«Соболевская средняя 
общеобразовательная школа» д.Соболевка Сухиничского района Калужской области";249286, Россия, Калужская область, Сухиничский район, д. Соболевка  д.14.;"широта 54.2286782
долгота 34.9096548";"понедельник-пятница; дошкольная группа;  7:30-17:30; выходные: суббота, воскресенье; школа - понедельник-пятница; 7:30- 18:00 ; суббота; 19:00-20:00; выходные: воскресенье";1024000806224;4017003913; 11.05.2011 ; рег. № 37 от 11.05.2011 серия ОП № 003243;11.05.2023;"начальное общее образование
основное общее образование
среднее общее образование "; рег.№ 73 от 02.04.2012 серия ОП № 003427-переоформление, рег.№82 от 10.04.2015 серия 40А01 №0000283-переоформление;;;;;;;
министерство образования и науки Калужской области;"Муниципальное казённое 
общеобразовательное учреждение
 «Шлипповская средняя
 общеобразовательная школа» с.Шлиппово Сухиничского района Калужской области ";249280, РФ, Калужская область, Сухиничский район, село Шлиппово, дом 19;"широта 54.1704036
долгота 35.1131388";"понедельник-четверг; 7:30-18:00; пятница; 7:30-19:00; выходные: суббота, воскресенье";1024000806037;4017003864;20.01.2015;рег.№1 от 20.01.2015 серия 40А01 №0000202;20.01.2027;"начальное общее образование
основное общее образование
среднее общее образование ";;;;;;;;
министерство образования и науки Калужской области;"Муниципальное казенное 
общеобразовательное учреждение
 «Стрельненская основная
общеобразовательная школа» с.Стрельна Сухиничского района Калужской области";"249296, Калужская область, Сухиничский район, 
село Стрельна, переулок Школьный, дом 9";"широта 54.05476299999999
долгота 35.35557270000004";"понедельник – пятница; 8:00 - 16:00, суббота; 8:00 -14:00; выходные - воскресенье";1024000806060;4017004515;11.05.2011;рег. № 34 от 11.05.2011  серия ОП № 003239;" 11.05.2023
";"начальное общее образование
основное общее образование
";рег.№ 214 от 24.12.2012 серия 40А01 № 0000013-переоформление, рег.№59 от 03.10.2014 серия 40А01 №000169 - переоформление;;;;;;;
министерство образования и науки Калужской области;"Муниципальное казенное 
общеобразовательное учреждение
 «Субботниковская средняя 
общеобразовательная школа» д.Субботники Сухиничского района Калужской области ";Российская Федерация,  Калужская область, Сухиничский район, д. Субботники, дом №65;"широта 53.9811115
долгота 35.435059499999966";"понедельник-пятница; 7:30-18:00; суббота; 9:00-13:00; выходные: воскресенье";1024000806499;4017004152;04.05.2012;рег.№ 136 от 04.05.2012 серия ОП № 003505;04.05.2024;"начальное общее образование
основное общее образование
среднее общее образование "; рег.№ 6 от 01.02.2013 серия 40А01 № 0000023-переоформление, рег.№ 31 от 11.03.2013 серия 40А01 № 0000049-переоформление, рег.№77 от 08.04.2015 серия 40А01 №0000278-переоформление;;;;;;;
министерство образования и науки Калужской области;Муниципальное казённое общеобразовательное учреждение «Алнерская  основная общеобразовательная школа» д. Алнеры Сухиничского района Калужской области;Российская Федерация, Калужская область, Сухиничский район, деревня Алнеры;"широта 54.14950289999999
долгота 35.31760069999996";"понедельник-пятница; 7:00-17:30; суббота; 8:30-21:00; выходные: воскресенье";1024000806235;4017003906;11.05.2011; рег.№36 от 11.05.2011 серия ОП 003242;11.05.2023;"начальное общее образование
основное общее образование
";рег.№111 от 05.10.2016 серия 40А01 № 0000482 - переоформление;;;;;;;
министерство образования и науки Калужской области;"Муниципальное казенное 
общеобразовательное 
учреждение «Глазовская 
основная общеобразовательная школа» д.Глазово Сухиничского района Калужской области";249264, Россия, Калужская область, Сухиничский район, д. Глазово;"широта 54.198407
долгота 35.45770749999997";"понедельник-пятница; 9:00-14:50; выходные: суббота, воскресенье";1024000805949;4017003945;"02.04.2012 
";"рег.№ 75 от 02.04.2012 
серия ОП № 003429";02.04.2024;"начальное общее образование
основное общее образование
"; рег.№81 от 10.04.2015 серия 40А01 №0000282-переоформление;;;;;;;
министерство образования и науки Калужской области;"Муниципальное казённое 
общеобразовательное учреждение
 «Немёрзская основная 
общеобразовательная школа» с.Новосельский Сухиничского района Калужской области ";249280, РФ, Калужская область, Сухиничский район, село Новосельский, дом 8;"широта 54.1327126
долгота 35.10461520000001";"понедельник-пятница; 8:00-17:00; суббота; 8:00-15:00; выходные: воскресенье";1024000806081;4017003871;"06.02.2012 
";"рег.№ 27 от 06.02.2012 
ОП № 003376";06.02.2024;"начальное общее образование
основное общее образование
";  рег.№ 34 от 02.04.2013 серия 40А01 № 0000052-переоформление, рег.№54 от 23.03.2015 серия 40А01 №0000254-переоформление;;;;;;;
министерство образования и науки Калужской области;"Муниципальное казенное 
общеобразовательное учреждение
 «Фролово - Горетовская основная 
общеобразовательная школа» с.Фролово Сухиничского района Калужской области";249290, Россия, Калужская область, Сухиничский район, с. Фролово;"широта 54.2039452
долгота 35.32761000000005";"понедельник-пятница; 8:00-15:00;  выходные: суббота, воскресенье";1024000805927;4017004603;04.05.2012;рег.№ 142 от 04.05.2012 серия ОП № 003511;04.05.2024;"начальное общее образование
основное общее образование
"; рег.№ 1 от 15.01.2012 серия 40А01 № 0000017-переоформление, рег.№86 от 10.04.2015 серия 40А01 №0000287 - переоформление;;;;;;;
министерство образования и науки Калужской области;Государственное бюджетное профессиональное образовательное учреждение  Калужской области «Колледж транспорта и сервиса» г.Сухиничи;249275, Калужская область, г. Сухиничи, ул. Ленина, д. 139;"широта 54.0834342
долгота 35.34169220000001";"понедельник-пятница; 8:15-17:00; выходные: суббота, воскресенье";1024000806290;4017002853;04.05.2017;рег.№7 от 04.05.2017 серия 40А01 №0000061;04.05.2023;"08.00.00 Наименование укрупненной группы профессий
ТЕХНИКА И ТЕХНОЛОГИИ СТРОИТЕЛЬСТВА
13.00.00 Наименование укрупненной группы профессий ЭЛЕКТРО- И ТЕПЛОЭНЕРГЕТИКА
15.00.00 Наименование укрупненной группы профессий МАШИНОСТРОЕНИЕ       19.00.00 Наименование укрупненной группы профессий 
ПРОМЫШЛЕННАЯ ЭКОЛОГИЯ И БИОТЕХНОЛОГИИ
29.00.00 Наименование укрупненной группы профессий ТЕХНОЛОГИИ ЛЕГКОЙ ПРОМЫШЛЕННОСТИ
35.00.00 Наименование  укрупненной группы профессий СЕЛЬСКОЕ, ЛЕСНОЕ И РЫБНОЕ ХОЗЯЙСТВО
23.00.00 Наименовнание укрупненной группы специальностей 
ТЕХНИКА И ТЕХНОЛОГИИ НАЗЕМНОГО ТРАНСПОРТА 38.00.00 Наименовнание укрупненной группы специальностей ЭКОНОМИКА И УПРАВЛЕНИЕ";  15.06.2018 - переоформление приложения;;;;;;;
министерство образования и науки Калужской области;"Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная 
школа № 1 имени Героя России М. Г. Ефремова» г. Таруса  Тарусского района Калужской области";249100, Калужская область, г. Таруса, ул. Ленина, дом 74;"широта 54.7212433
долгота 37.157629600000064";"понедельник-пятница; 08:00-17:00; выходные: суббота, воскресенье";1024000851544;4018004170;11.04.2011;№18 (5) от 11.04.2011 серия ОП 003179; 11.04.2023;"начальное общее образование
основное общее образование
среднее общее образование ";рег.№ 205 от 09.11.2012 серия 40А01 № 0000004-переоформление, рег.№106 от 08.09.2016 серия 40А01 №0000479 - переоформление;;;;;;;
министерство образования и науки Калужской области;Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 2 имени ученого В.З. Власова» г. Таруса Тарусского района Калужской области ;249100,  Калужская область, г.Таруса, ул.Луначарского, д.8;"широта 54.725117
долгота 37.182764399999996";" школа - понедельник-пятница;  08:00-17:00; выходные:суббота, воскресенье; дошкольная группа-понедельник-пятница; 07:00-19:00; выходные: суббота, воскресенье ";1024000850829;4018004187;29.12.2015;рег.№187 от 29.12.2015 серия 40А01 №0000376;29.12.2027;"начальное общее образование
основное общее образование
среднее общее образование ";;;;;;;;
министерство образования и науки Калужской области;Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа» с. Барятино Тарусского района Калужской области;249106, Калужская область, Тарусский район, с. Барятино, ул. Советская, д. 5;"широта 54.723893
долгота 36.823875199999975";"понедельник-пятница; 8:30-15:00; выходные: суббота, воскресенье";1074029000715;4018008897;07.05.2014;рег.№53 от 07.05.2014 серия 40А01 №0000171;" 07.05.2026
";"начальное общее образование
основное общее образование
среднее общее образование ";15.03.2018 - переоформление приложения;;;;;;;
министерство образования и науки Калужской области;муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа» с. Вознесенье Тарусского района Калужской области;"249103, Калужская область, Тарусский район, 
с.Вознесенье, ул.Школьная, 11";"широта 54.60215909999999
долгота 37.07699709999997";"понедельник-пятница; 8:00 - 16:30;  выходные: суббота, воскресенье ";1054003508591;4018008047;02.04.2012;рег.№ 46 от 02.04.2012 серия ОП № 003399; 02.04.2024;"начальное общее образование
основное общее образование
среднее общее образование ";рег.№ 24 от 11.03.2013 серия 40А01 № 0000041-переоформление, рег.№103 от 01.09.2016 серия 40А01 №0000476 - переоформление;;;;;;;
министерство образования и науки Калужской области;Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа» с. Лопатино Тарусского района Калужской области;"249105, Калужская область, Тарусский район, 
с.Лопатино,  ул.Центральная, 11";"широта 54.73884750000001
долгота 37.00470740000003";"понедельник-пятница; 8:00 - 16:00;  выходные: суббота, воскресенье ";1054003520890;4018008167;11.04.2011; рег.№32 (5) от 11.04.2011 серия ОП 003192;11.04.2023;"начальное общее образование
основное общее образование
среднее общее образование ";рег.№104 от 01.09.2016 серия 40А01 №0000477 - переоформление;;;;;;;
министерство образования и науки Калужской области;муниципальное бюджетное общеобразовательное учреждение «Основная общеобразовательная школа» с.Некрасово Тарусского района Калужской области;"249108, Калужская область, Тарусский район,
 с.Некрасово, ул.Центральная, д.11";"широта 54.8295429
долгота 37.14078810000001";"понедельник-пятница; 9:00 - 16:00;  выходные: суббота, воскресенье";1054003539336;4018008181;02.04.2012;рег.№ 47 от 02.04.2012 серия ОП № 003400; 02.04.2024;"начальное общее образование
основное общее образование
"; рег.№47 от 24.04.2014 серия 40А01 30000164-переоформление свид-ва в связи с аккредитацией  программ основного общего образования ;;;;;;;
министерство образования и науки Калужской области;муниципальное бюджетное общеобразовательное учреждение «Волковская начальная школа-детский сад»;249109, Калужская область, Тарусский район, с.Волковское, ул. Школьная, д.7;"широта 54.8226667
долгота 37.204899599999976";"понедельник-пятница; 7:00-19:00; выходные: суббота, воскресенье ";1054003511352;4018008093;02.04.2012;рег.№ 56 от 02.04.2012 серия ОП № 003410; 02.04.2024;"начальное общее образование
";рег.№ 32 от 01.04.2013 серия 40А01 № 0000050-переоформление, рег.№102 от 01.09.2016 серия 40А01 №0000475 - переоформление;;;;;;;
министерство образования и науки Калужской области;Государственное бюджетное профессиональное образовательное учреждение Калужской области «Тарусский многопрофильный техникум»;Российская Федерация, г. Таруса, ул. Шевякова, д.10;"широта 54.7289629
долгота 37.16686809999999";"понедельник- пятница; 8:00 -17:00; выходные: суббота, воскресенье ";1024000851929;4018004194;04.05.2017;рег.№6 от 04.05.2017 серия 40А01 №0000060;04.05.2023;"19.00.00 Наименование укрупненной группы профессий  ПРОМЫШЛЕННАЯ ЭКОЛОГИЯ И БИОТЕХНОЛОГИИ                 20.00.00 Наименование укрупненной группы специальностей ТЕХНОСФЕРНАЯ БЕЗОПАСТНОСТЬ И ПРИРОДООБУСТРОЙСТВО 23.00.00 Наименование укрупненной группы специальностей ТЕХНИКА И ТЕХНОЛОГИИ НАЗЕМНОГО ТРАНСПОРТА                            38.00.00 Наименование укрупненной группы специальностей               ЭКОНОМИКА И УПРАВЛЕНИЕ
";;;;;;;;
министерство образования и науки Калужской области;Муниципальное общеобразовательное  учреждение «Дудоровская средняя общеобразовательная школа»;249774, Калужская область, Ульяновский район, с.Дудоровский, улица  Авуева, 1а ;"широта 53.6584331
долгота 35.36339380000004";"школа- понедельник - суббота; 9:00 -16.00; выходные: воскресенье; дошкольное образование - понедельник- пятница; 8:00-17:00; выходные: суббота, воскресенье";1034002200880;4019002136;14.10.2014 с;рег.№61 от 14.10.2014 серия 40А01 №0000170;14.10.2026;"начальное общее образование
основное общее образование
среднее общее образование ";;;;;;;;
министерство образования и науки Калужской области;Муниципальное общеобразовательное учреждение «Заречная средняя общеобразовательная школа»;Россия, 249760,  Калужская область, Ульяновский район, с.Заречье, д.14;"широта 53.7314418
долгота 35.628468099999964";"понедельник-суббота; 9:00-14:30; выходные: воскресенье";1034002200870;4019002070;21.10.2014;рег.№65 от 21.10.2014 серия 40А01 №0000175;21.10.2026;"начальное общее образование
основное общее образование
среднее общее образование ";;;;;;;;
министерство образования и науки Калужской области;Муниципальное общеобразовательное учреждение «Ульяновская средняя общеобразовательная школа»;249750, Калужская область, с. Ульяново, ул. Первомайская, д. 43;"широта 53.7182369
долгота 35.53492069999993";"понедельник-суббота; 9:00-14:05; выходные: воскресенье";1034002200869;4019002087;27.10.2014;рег.№69 от 27.10.2014 серия 40А01 №0000178;27.10.2026;"начальное общее образование
основное общее образование
среднее общее образование ";;;;;;;;
министерство образования и науки Калужской области;Муниципальное общеобразовательное учреждение «Жильковская основная общеобразовательная школа»;"249771,  Калужская область, Ульяновский район, 
д. Жильково, дом 53";"широта 53.8016442
долгота 35.46809659999997";организация не осуществляет образовательную деятельность;1034002200792;4019002129;14.10.2014;рег.№60 от 14.10.2014 серия 40А01 №0000171;14.10.2026;"начальное общее образование
основное общее образование
";;;;приказ министерства образования и науки Калужской области от 14.11.2016 №1863;;;;
министерство образования и науки Калужской области;Муниципальное общеобразовательное учреждение «Касьяновская основная общеобразовательная школа»;"249771,  Калужская область, Ульяновский район, 
с. Касьяново, дом 48";"широта 53.6959552
долгота 35.96272049999993";"понедельник-суббота; 8:00 - 17:00; выходные-воскресенье ";1034002200760;4019002175;16.10.2014;рег.№63 от 16.10.2014 серия 40А01 №0000173;16.10.2026;"начальное общее образование
основное общее образование
";;;;;;;;
министерство образования и науки Калужской области;Муниципальное общеобразовательное учреждение «Мелиховская основная общеобразовательная школа»;"249766, Калужская область, Ульяновский район, 
д. Мелихово, дом 81";"широта 53.6003096
долгота 35.60258780000004";"понедельник, среда -пятница; 9:00-14:30; вторник; 9:00-16:10; суббота; 9:00-13:35; выходные: воскресенье";1034002200814;4019002062;21.10.2014;рег.№66 от 21.10.2014 серия 40А01 №0000175;21.10.2026;"начальное общее образование
основное общее образование
";;;;;;;;
министерство образования и науки Калужской области;Муниципальное общеобразовательное учреждение «Поздняковская основная общеобразовательная школа»;"249763, Калужская область, Ульяновский район, 
с. Поздняково, дом 37 ";"широта 53.6811756
долгота 35.90170330000001";организация не осуществляет образовательную деятельность;1034002200770;4019002048;16.10.2014;рег.№62 от 16.10.2014 серия 40А01 №0000172;16.10.2026;"начальное общее образование
 ";;;;Приказ министерства образования и науки Калужской области от 17.11.2016 №1901;;;;
министерство образования и науки Калужской области;Муниципальное общеобразовательное учреждение «Авчуринская средняя общеобразовательная школа» муниципального района «Ферзиковский район» Калужской области;"249812, Российская Федерация, Калужская область, Ферзиковский район, с. Авчурино, ул. Центральная, д. 23а
";"широта 54.4592564
долгота 36.430384199999935";"понедельник-пятница; 8:00-16:00; субота; 8:00-14:00";1024000851093;4020003790;25.04.2016;рег. № 69 от 25.04.2016 серия 40А01 № 0000446;25.04.2028;"начальное общее образование
основное общее образование
среднее общее образование ";"приказ от 06.06.2017 №840 о переоформлении свидетельства в части приложения; 15.06.2018 - переоформление приложения";;;;;;;
министерство образования и науки Калужской области;Муниципальное общеобразовательное учреждение «Аристовская средняя общеобразовательная школа» муниципального района «Ферзиковский район» Калужской области;Калужская область, Ферзиковский район,  д.Аристово, д.6-а ;"широта 54.6035905
долгота 36.66598909999993";"понедельник - суббота; 8:00 - 15:30; выходные: воскресенье";1024000851115;4020003776;02.04.2012;рег.№ 40 от 02.04.2012 серия ОП № 003402; 02.04.2024;"начальное общее образование
основное общее образование
среднее общее образование ";рег.№ 44 от 22.04.2013 серия 40А01 № 0000063-переоформление, рег.№140 от 12.12.2016 серия 40А01 №0000508 - переоформление;;;;;;;
министерство образования и науки Калужской области;Муниципальное общеобразовательное учреждение «Бебелевская средняя общеобразовательная школа» муниципального района «Ферзиковский район» Калужской области;249806 Калужская область, Ферзиковский район, д. Бебелево, ул. Центральная, д. 31;"широта 54.5338718
долгота 36.49801439999999";"понедельник-пятница; 8:30-16:304  суббота: 8:30-12:15; выходные: воскресенье";1024000850521;4020003720;11.04.2011; рег. № 17 (5) от 11.04.2011 серия ОП 003178;11.04.2023;"начальное общее образование
основное общее образование
среднее общее образование ";рег.№149 от 20.12.2016 серия 40А01 №0000517 - переоформление;;;;;;;
министерство образования и науки Калужской области;Муниципальное общеобразовательное учреждение «Бронцевская средняя общеобразовательная школа» муниципального района «Ферзиковский район» Калужской области;249803, Калужская область, Ферзиковский район, д. Бронцы, ул. Центральная, 4;"широта 54.4652502
долгота 36.783442599999944";"понедельник- суббота; 8:00-16:00; выходные-воскресенье";1024000851016;4020003783; 21.03.2016;  рег. № 49 от 21.03.2016 серия 40А01 №0000431;21.03.2028;"начальное общее образование
основное общее образование
среднее общее образование ";;;;;;;;
министерство образования и науки Калужской области;Муниципальное общеобразовательное учреждение «Дугнинская средняя общеобразовательная школа» муниципального района «Ферзиковский район» Калужской области;249811 Калужская область, Ферзиковский район, п. Дугна, ул. Ленина, дом 20;"широта 54.422283
долгота 36.85094860000004";" понедельник - суббота; 8:30 - 19:00; выходные: воскресенье";1024000850367;4020003818;01.02.2016;рег.№8 от 01.02.2016 серия 40А01 №0000392;01.02.2028;"начальное общее образование
основное общее образование
среднее общее образование ";30.03.2017 - переоформление приложения;;;;;;;
министерство образования и науки Калужской области;муниципальное общеобразовательное учреждение «Грабцевская средняя общеобразовательная школа» муниципального района «Ферзиковский район» Калужской области;248926,  Калужская область, Ферзиковский район,  с.Воскресенское, ул.Центральная аллея, д.1;"широта 54.5704961
долгота 36.42035290000001";"  понедельник-пятница; 9:00-17:00; выходные: суббота, воскресенье ";1024000851566;4020003825; 11.04.2011; рег. № 16 (5) от 11.04.2011 серия ОП 003177;11.04.2023;"начальное общее образование
основное общее образование
среднее общее образование ";рег.№148 от 19.12.2016 серия 40А01 №0000516 - переоформление;;;;;;;
министерство образования и науки Калужской области;Муниципальное общеобразовательное учреждение «Кольцовская средняя общеобразовательная школа» муниципального района «Ферзиковский район» Калужской области;249804, Калужская область, Ферзиковский район, с.Кольцово, ул. Школьная, д. 1-а;"широта 54.44699120000001
долгота 36.677757799999995";"понедельник-суббота; 8:30-16:00; выходные: воскресенье";1024000851082;4020003991;21.03.2016;рег. № 50 от 21.03.2016 серия 40А01 №0000432;21.03.2028;"начальное общее образование
основное общее образование
среднее общее образование ";;;;;;;;
министерство образования и науки Калужской области;Муниципальное общеобразовательное учреждение «Октябрьская средняя общеобразовательная школа» муниципального района «Ферзиковский район» Калужской области;"249802, Калужская область,  Ферзиковский район, 
п. Октябрьский, д.39 А
";"широта 54.3508315
долгота 36.77487730000007";"понедельник-суббота; 8:30-17:00; выходные: воскресенье";1024000851478;4020003737;18.05.2016; рег. №84 от  18.05.2016 серия 40А01 №0000459;18.05.2028;"начальное общее образование
основное общее образование
среднее общее образование ";;;;;;;;
министерство образования и науки Калужской области;муниципальное общеобразовательное учреждение «Сашкинская средняя общеобразовательная школа» муниципального района «Ферзиковский район» Калужской области;249809, Калужская область, Ферзиковский район, село Сашкино, дом 1 Б;"широта 54.5725989
долгота 36.84854259999997";"понедельник-суббота; 8:00-14:30; выходные: воскресенье";1024000851808;4020003800;25.04.2016;рег. № 70 от 25.04.2016 серия 40А01 № 0000447;25.042028;"начальное общее образование
основное общее образование
среднее общее образование ";;;;;;;;
министерство образования и науки Калужской области;Муниципальное общеобразовательное учреждение «Ферзиковская средняя общеобразовательная школа» муниципального района «Ферзиковский район» Калужской области;"249800, Калужская область, Ферзиковский район, 
п. Ферзиково, ул. Пионерская, 13 а";"широта 54.5197206
долгота 36.76375759999996";"понедельник - суббота;  8:00 - 21:00; выходные: воскресенье ";1024000850730;4020003960;18.05.2016;рег. № 85 от 18.05.2016 серия 40А01 №0000460 ;18.05.2028;"начальное общее образование
основное общее образование
среднее общее образование ";;;;;;;;
министерство образования и науки Калужской области;Муниципальное общеобразовательное учреждение «Красногороденская основная общеобразовательная школа» муниципального района «Ферзиковский район» Калужской области;249810, Российская Федерация, Калужская область, Ферзиковский район, д. Красный Городок, ул. Коммунаров, д.17;"широта 54.5382305
долгота 36.412872600000014";"понедельник – пятница; 8:00-16:00; выходные: суббота, воскресенье";1024000851742;4020003744;02.04.2012;рег.№ 48 от 02.04.2012 серия ОП № 003401; 02.04.2024;"начальное общее образование
основное общее образование
";рег.№ 43 от 22.04.2013 серия 40А01 № 0000062-переоформление, рег.№138 от 08.12.2016 серия 40А01 №0000506 - переоформление;;;;;;;
министерство образования и науки Калужской области;Муниципальное общеобразовательное учреждение «Виньковская начальная общеобразовательная школа» муниципального района «Ферзиковский район» Калужской области;"249802,  Калужская область, Ферзиковский район, 
д. Зудна, ул. Лесная, д. 10";"широта 54.3815866
долгота 36.78658189999999";"понедельник-пятница; 8:30-15:30; дошкольное образование: 8:30-18:00; выходные: суббота, воскресенье";1024000851930;4020003840;11.02.2014;рег.№13 от 11.02.2014 серия 40А01 №0000129;11.02.2026;"начальное общее образование
";рег.№153 от 26.12.2016 серия 40А01 №0000521 - переоформление;;;;;;;
министерство образования и науки Калужской области;Муниципальное общеобразовательное учреждение «Хвастовичская средняя общеобразовательная школа» Хвастовичского района Калужской области;249360, Калужская область, с. Хвастовичи, ул. Кирова,  д.1;"широта 54.4554301
долгота 36.424431700000014";"понедельник-пятница; 8:30-16:00; суббота; 8:30-14:00; выходные: воскресенье";1024000596575;4021001901; 11.04.2011 ;рег №24(5) от 11.04.2011серия ОП 003185;11.04.2023;"начальное общее образование
основное общее образование
среднее общее образование ";рег.№163 от 08.12.2015 серия 40А01 №0000354-переоформление;;;;;;;
министерство образования и науки Калужской области;Муниципальное казенное общеобразовательное учреждение «Еленская средняя общеобразовательная школа» Хвастовичского района Калужской области;249373, Калужская область, Хвастовичский район, пос. Еленский, ул. Партизанский проспект, д.49;"широта 53.4864122
долгота 35.37698720000003";"дошкольная группа; 7:30-18:00; школа; понедельник-пятница; 9:00-19:00; суббота; 9:00-15:30; выходные: суббота";1024000598148;4021002824;14.11.2011;рег. №106  от 14.11.2011 серия ОП 003322;14.11.2023;"начальное общее образование
основное общее образование
среднее общее образование ";рег.№5 от 27.01.2016 серия 40А01 №0000390-переоформление;;;;;;;
министерство образования и науки Калужской области;Муниципальное казённое общеобразовательное учреждение «Подбужская основная общеобразовательная школа» Хвастовичского района Калужской области;"249381, Калужская область, Хвастовичский район, 
с. Подбужье, ул. Симоненкова, д.13";"широта 53.5002209
долгота 34.932093699999996";"понедельник-пятница; 9:00-16:00; выходные: суббота, воскресенье";1024000596267;4021002214; 11.03.2015 ;рег.№38 от 11.03.2015 серия 40А01 №0000238;11.03.2027;"начальное общее образование
основное общее образование
";рег.№171 от 23.12.2015 серия 40А01 №0000361 - переоформление;;;;;;;
министерство образования и науки Калужской области;Муниципальное казенное общеобразовательное учреждение «Бояновичская средняя общеобразовательная школа» Хвастовичского района Калужской области;"249365. Калужская область, Хвастовичскицй район, 
с. Бояновичи, ул. Коммунарская, д.27 А";"широта 53.4151737
долгота 34.85434639999994";"понедельник-суббота; 8:30-15:00; выходные: воскресенье";1024000596465;4021002207;14.11.2011; рег. №107 от 14.11.2011 серия ОП 003323;14.11.2023;"начальное общее образование
основное общее образование
среднее общее образование ";рег.№170 от 23.12.2015 серия 40А01 №0000360 -переоформление;;;;;;;
