Наименование аккредитационного органа, выдавшего свидетельство о государственной аккредитации;Полное наименование, местонахождение организации, имеющей свидетельство о государственной аккредитации  ;Местонахождение юридического лица;Геоданные;Режим работы;Государственный регистрационный номер записи о создании юридического лица;Идентификационный номер налогоплательщика-организации, имеющей свидетельство о государственной аккредитации;Дата принятия решения о государственной аккредитации;Реквизиты свидетельства о государственной аккредитации;Срок окончания свидетельства о государственной аккредитации;Перечень аккредитованных образовательных программ, укрупненных групп направлений подготовки и специальностей;Основание и дата переоформления свидетельства о государственной аккредитации;Основание и даты приостановлении и  возобновлении действия свидетельства о государственной аккредитации;Основание и дата лишения свидетельства о государственной аккредитации ;Основание и дата прекращения действия  свидетельства о государственной аккредитации ;;;;
министерство образования и науки Калужской области;Муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа № 4 г.Балабаново»;249000 Калужская область, Боровский район, г.Балабаново, ул. Гагарина дом 12 стр.1;"широта 55.177721
долгота 36.64707499999997";"понедельник-пятница: 08:00 - 17:00, суббота: 08:00 - 14:00; выходной: воскресенье";1024000535305;4003001105;01.02.2016;рег.№10 от 01.02.2016 серия 40А01 №0000394;01.02.2028;"начальное общее образование
основное общее образование
среднее общее образование ";;;;;;;;
министерство образования и науки Калужской области;Муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа г. Ермолино»;249027 Калужская область, Боровский район, г. Ермолино, ул. Карла Маркса, д.1;"широта 55.1939934
долгота 36.59533510000006";"понедельник-пятница: 08:00 - 20:00, суббота: 10:00 - 15:00; выходной:  воскресенье";1024000534480;4003001112;01.04.2028;рег.№56 от 01.04.2016 серия 40А01 №0000435;01.04.2028;"начальное общее образование
основное общее образование
среднее общее образование ";04.05.2017 - переофрмление приложения;;;;;;;
министерство образования и науки Калужской области;Муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа д.Абрамовское им. И.Н.Самохина»;249024, Калужскя область, Боровский район, д.Абрамовское, ул.Школьная, 7;"широта 55.1074957
долгота 36.24114420000001";"понедельник-пятница: 08:05 - 15:05; выходной: суббота, воскресенье";1024000537692;4003001169;27.02.2012;рег.№ 33 от 27.02.2012 серия ОП № 003381;27.02.2024;"начальное общее образование
основное общее образование
среднее общее образование ";рег.№146 от 09.11.2015 серия 40А01 №0000339-переоформление;;;;;;;
министерство образования и науки Калужской области;Муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа д. Кривское имени В.В. Мигунова»;249007 Калужская область, Боровский район, д.Кривское, ул. Мигунова, д.5;"широта 55.1380422
долгота 36.54180919999999";"понедельник-пятница: 07:45 - 21:00; выходной: суббота, воскресенье";1024000538044;4003001063;       25.04.2016; рег.№ 71 от 25.04.2016 серия 40А01 № 0000448;25.04.2028;"начальное общее образование
основное общее образование
среднее общее образование ";;;;;;;;
министерство образования и науки Калужской области;Муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа с. Ворсино им. К.И. Фролова»;249020, Калужская область, Боровский район,                           с. Ворсино, ул. Школьная д.11;"широта 55.2252021
долгота 36.645471300000054";"понедельник-пятница: 08:00 - 16:00; выходной: суббота, воскресенье";1024000537549;4003001151;       14.03.2011;рег.№21(3) от 14.03.2011 серия ОП №003142;14.03.2023;"начальное общее образование
основное общее образование
среднее общее образование ";рег.№ 44 от 13.03.2012 серия ОП № 003397 -переоформление, рег.№161 от 30.11.2015 серия 40А01 №0000351-переоформление ;;;;;;;
министерство образования и науки Калужской области;Муниципальное общеобразовательное учреждение «Основная общеобразовательная школа д. Борисово»;РФ, 249015, Калужская область, Боровский район, д. Борисово, улица Центральная, дом  № 3;"широта 55.1757509
долгота 36.07570290000001";"понедельник-пятница: 07:00 - 18:00; выходной: суббота, воскресенье";1024000539133;4003001144;27.02.2012;рег.№ 38 от 27.02.2012 серия ОП  № 003391;27.02.2024;"начальное общее образование
основное общее образование
";рег.№144 от 14.12.2016 серия 40А01 №0000512 - переоформление;;;;;;;
министерство образования и науки Калужской области;Муниципальное общеобразовательное учреждение «Основная общеобразовательная школа д. Коростелево»;РФ, 249017, Калужская область, Боровский район, д. Коростелево, д.63;"широта 55.1261155
долгота 36.14861010000004";"понедельник-пятница: 08:00 - 16:00; выходной: суббота, воскресенье";1024000537450;4003001289;27.02.2012;рег. № 41 от 27.02.2012 серия ОП № 003394;27.02.2024;"начальное общее образование
основное общее образование
";рег.№143 от 14.12.2016 серия 40А01 №0000511 - переоформление;;;;;;;
министерство образования и науки Калужской области;Государственное бюджетное профессиональное образовательное учреждение  Калужской области «Ермолинский техникум»;"249027, Калужская область, Боровский район, 
г. Ермолино, ул. 1-го Мая, дом 1";"широта 55.19863179999999
долгота 36.59774730000004";"понедельник-пятница: 08:00 - 16:00; выходной: суббота, воскресенье";1024000539529;4003002349;03.11.2015;№86 от 16.12.2014 серия 40А01 № 0000238;16.12.2020;"35.00.00 Наименование укрупненной группы профессий
СЕЛЬСКОЕ, ЛЕСНОЕ И РЫБНОЕ ХОЗЯЙСТВО
23.00.00 Наименование укрупненной группы специальностей 
ТЕХНИКА И ТЕХНОЛОГИИ НАЗЕМНОГО ТРАНСПОРТА";рег. № 143 от 03.11.2015 серия 40А01 № 0000029-переоформление;;;;;;;
министерство образования и науки Калужской области;Частное профессиональное образовательное учреждение «Современный гуманитарный колледж»;249000, Калужская область, Боровский район, г. Балабаново, ул. Гагарина, д. 20, помещение 9;"широта 55.182457
долгота 36.64657699999998";"понедельник-пятница: 09:00 - 17:00; выходной: суббота, воскресенье";1154000000230;4003036250;03.02.2017;рег. № 1 от 03.02.2017 серия 40А01 №0000056;03.02.2023;"09.00.00 Наименование укрупненной группы специальностей ИНФОРМАТИКА И ВЫЧИСЛИТЕЛЬНАЯ ТЕХНИКА 38.00.00 Наименование укрупненной группы специальностей 
ЭКОНОМИКА И УПРАВЛЕНИЕ            40.00.00 Наименование укрупненной группы специальностей 
ЮРИСПРУДЕНЦИЯ
";15.03.2018 - переофрмление приложение, 15.06.2018 - переоформление приложения;;;;;;;
министерство образования и науки Калужской области;Муниципальное казенное общеобразовательное учреждение «Кондровская средняя общеобразовательная школа №1»;"249832, Калужская область, Дзержинский район, 
г. Кондрово, ул. Советская, д.13";"широта 54.8101509
долгота 35.927748199999996";"понедельник-пятница: 08:00 - 17:15; выходной: суббота, воскресенье";1024000565841;4004003786;29.12.2015;рег. № 175 от 29.12.2015 серия 40А01 № 0000365;29.12.2027;"начальное общее образование
основное общее образование
среднее общее образование ";03.02.2017 переоформление приложения серия 40А01 № 0000445;;;;;;;
